ID_SOMAEU,siteNo,nom,secteur,region,lon,lat
MTL-18,3280-02D,3280-02D Trop-plein Renaude-Lapointe/Henri-Bourassa,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.5999230493006,45.613542608717
MTL-19,3290-01D,3290-01D Ouv. de régulation Langelier,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6248024365849,45.6264226124973
MTL-20,3305-01D,3305-01D Racc. Gouin-Langelier,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6248024365849,45.6264226124973
MTL-21,3305-02D,3305-02D Racc. Gouin-Rolland,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6291135066657,45.6239442960817
MTL-22,3305-03D,3305-03D Ouv. Lacordaire - Trop-plein d'orage,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6332257372849,45.6199158303584
MTL-23,3305-04D,3305-04D Ouv. Lacordaire - Trop-plein d'urgence,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6332257372849,45.6199158303584
MTL-24,3305-05D,3305-05D Dériv. Gouin-Lanthier,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6354042851996,45.6167313984095
MTL-25,3305-06D,3305-06D Dériv. Gouin-Salk,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6367333111471,45.6139291091707
MTL-26,3305-07D,3305-07D Dériv. Gouin-Brunet,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6379883023324,45.6117325653659
MTL-27,3310-01D,3310-01D Ouv. de régulation Lanthier,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6353714694581,45.616788666175
MTL-30,3340-01D,3340-01D Ouv. d'Interc. Plaza,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6481376309899,45.5950361591248
MTL-34,3350-01D,3350-01D Ouv. de régulation Lausanne,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL-NORD,-73.6513643947496,45.5910682732204
MTL-35,3350-02D,3350-02D Ouv. de racc. Étienne-Brûlé,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6592425423213,45.5793552728127
MTL-36,3350-03D,3350-03D Émissaire 07,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6592425423213,45.5793552728127
MTL-37,3350-04D,3350-04D Trop-plein Du Pressoir,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6604167257454,45.5761770456683
MTL-38,3350-05D,3350-05D Trop-plein Barrage Simon-Sicard,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6624315092284,45.5708140797228
MTL-39,3350-06D,3350-06D Trop-plein St-Denis,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6742298885238,45.5553544700881
MTL-40,3350-07D,3350-07D Trop-plein Salaberry,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6919474022914,45.5476057553905
MTL-41,3350-08D,3350-08D Trop-plein Bohlé,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7097957292012,45.5417015873819
MTL-41,3350-08D,3350-08D Trop-plein Bohlé,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7098635964445,45.541666908979
MTL-31,3350-09D,3350-09D S.P. Lavigne - Trop-plein d'orage,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7137900106765,45.5376927852086
MTL-31,3350-09D,3350-09D S.P. Lavigne - Trop-plein d'orage,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7137569531746,45.5377207420386
MTL-33,3350-11D,3350-11D Trop-plein Notre-Dame-de-Grâce,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7137916684185,45.5376909824308
MTL-33,3350-11D,3350-11D Trop-plein Notre-Dame-de-Grâce,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7137557728281,45.5377133655786
MTL-42,3370-01D,3370-01D Ouv. de régulation Curotte,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6634972479334,45.5653527338834
MTL-43,3380-01D,3380-01D Ouv. de régulation Auteuil,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6748358047897,45.5548013156888
MTL-44,3390-01D,3390-01D Ouv. de régulation St-Laurent,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6769762222008,45.5521561938143
MTL-45,3400-01D,3400-01D Ouv. de régulation Meilleur,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6820832251513,45.5495973139504
MTL-45,3400-01D,3400-01D Ouv. de régulation Meilleur,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.6820347453996,45.5496156578794
MTL-47,3410-02D,3410-02D Trop-plein Décarie-Raimbault,OMAEU de Montréal (Station Jean-R.-Marcotte),ST-LAURENT,-73.7098635964445,45.541666908979
MTL-49,3450-01D,3450-01D S.P. Saraguay - Trop-plein d'orage pompé,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL ,-73.7545436720545,45.5118974935891
MTL-51,3460-01D,3460-01D Ouv. de régulation Pitfield,OMAEU de Montréal (Station Jean-R.-Marcotte),PIERREFONDS,-73.7591975471947,45.5070592852918
